No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,CRC32,MD5,SHA1,SHA256
Back to the Future Part III (Europe),SEGA MEGA DRIVE,(C)T-69 1991.JUL,BTTF3,BTTF3,GM,#NAME?,(unknown),59031 (0xE697),JUE,2737F92E,412167642219d26ffc5994d07e31c561,c808ee7f6f61c096ab73b68dd181e25fdcfde243,0b8ba22efa9a0e5a0e92a000c748ab9abbf3385decd426c3c027706a96ac97b7
Back to the Future Part III (USA),SEGA MEGA DRIVE,(C)T-69 1991.JUL,BTTF3,BTTF3,GM,#NAME?,(unknown),36030 (0x8CBE),JUE,66A388C3,165288c22589ef8c1a41e31215b52c34,a704a1538fb4392e4631e96dce11eeff99d9b04a,cfb9d6977f0457ea74db99b8305ddf530381fe31e7e2c45d59c46f0e69f9435e
"Bad Omen (Japan, Korea) (En)",SEGA MEGA DRIVE,(C)T-28 1992.JAN,BADOMEN,DEVILISH,GM,T-28043,0,63886 (0xF98E),J,975693CE,81b14012e083985135ca8f1420074d0e,5378af243fb6f592f1e1cd17e3722e2c5e807e72,fb9e9bc9c45e7cb6908e8c4498df673e287bb62fbe01ff53b01ffbe2951dd024
Bahamut Senki (Japan),SEGA MEGA DRIVE,(C)SEGA 1990.DEC,War History in BAHAMUT,(unknown),GM,00004521-00,(unknown),61639 (0xF0C7),J,B1E268DA,e67c277cc6cbc821c3e0c1898a635daf,cee49b613298e060d938de523dfcbb27e790b5af,f362b3cfb9c5dce52f881f6ea281dde5398ae74fe40d44fe0add56d90ad4dd04
"Ball Jacks (Japan, Europe) (En)",SEGA MEGA DRIVE,(C)T-14 1992.MAY,BALL JACKS,BALL JACKS,GM,MK-1078-50,(unknown),3740 (0x0E9C),JE,F5C3C54F,4e1dea42312f072440322da246e8bbdf,c8aa71c5632a5cc59da430ca3870cffb37fbd30f,deed4d864ad1302f5845589c9bf636142abc568666fa0bde4d1f8d3581fe5b8c
"Ballz 3D - The Battle of the Ballz (USA, Europe)",SEGA GENESIS,(C)T-1191994.JUL,Ballz,Ballz,GM,T-119126-00,(unknown),36795 (0x8FBB),JUE,B362B705,339a8c9a96fcdedb2922b04bcc34f0d2,4825cb9245a701cc59900c57a7a5fa70edc160f0,7a303995125b6c301bce4f9b8ffbce3afb2548537e65559e8f667b93483770a6
"Ballz 3D - The Battle of the Ballz (USA, Europe) (Beta 1)",SEGA GENESIS,(C)SEGA 1994.JUN,Ballz -         The battle for  the third,dimension,GM,MK-0000,0,0 (0x0000),(unknown),C89AD87E,87b7a93daa4c29cd066c09810bd85532,6cd87eb8b1b585778158c6ecf5faf16365924d33,b97c8e1eeae7bc7be40d8c2870e45246ba3468656975d4ccfa13a8e53eddc956
"Ballz 3D - The Battle of the Ballz (USA, Europe) (Beta 2)",SEGA GENESIS,(C)T-1561994.SEP,Ballz,Ballz,GM,T-156016-00,(unknown),13011 (0x32D3),JUE,D349AB90,ea772f29e24cfa31fd9a1d9fcacc5432,b87044362a6fde38eedb3675b09b6c005c39c739,4ecc24956980aef54e7a9e4ab31d8cf4bff06c2fbf780fe6c6e9b57af0725080
Bao Long Tu - Violent Dragon Rabbit (World) (v0.2.25) (Proto) (Aftermarket) (Unl),SEGA GENESIS,(C)JIOFF2019.AUG,VIOLENT DRAGON RABBIT,VIOLENT DRAGON RABBIT,GM,12345678-01,(unknown),0 (0x0000),JUE,E3521BB9,c2d47d11f6e675192f2bff3a1031193d,05cc6cc6fd9c0773ea11f668d3819be4a206dfaf,c961783fcc794b25efcbaef9c6137bbff2deb875e5be9eb35959d2ed22303d18
Baoxiao Sanguo (Taiwan) (Unl),,,,,,,(unknown),65535 (0xFFFF),,496EB1D1,3e06ff4b7344ee11dc9cd15f307be6e3,eb2363c83a0b76b7825320dcf332779b534a1d89,63a9905256dab44aa4e0331f81f1b8340ccd3f88156d20996a61c04750d304b2
Baoxiao Sanguo (Taiwan) (Unl) (Alt),,,,,,,(unknown),65535 (0xFFFF),,DF107B54,3a128ffcb58d1e9c5a931eeb2802ad2f,84b53f8639750b1ab0133559933dae1f8af95b7a,b28853f74fc70ca8542cbe24e41e6eaddf2695822d76e26be6da322496775fc2
Barbarian (World) (Aftermarket) (Unl),SEGA MEGA DRIVE,(C)FLEMTEAM 2013,SAMPLE PROGRAM,SAMPLE PROGRAM,GM,00000000-00,(unknown),0 (0x0000),JUE,A887D287,7697d062888a14130a0cc70f004d35af,2aea0d18491d9ada43b00d3a1e28f55f717f5777,74702c6a4afc82fa2ad9af6dcb87285a33491e17c9aa82464c00f8b214d77fbb
Barbie Super Model (USA),SEGA GENESIS,(C)T112 1993.SEP,BARBIE:SUPER MODEL,BARBIE:SUPER MODEL,GM,T-112026-00,(unknown),41152 (0xA0C0),U,81C9662B,57705b055973733e8b9c25373a80f28c,490f4f7a45ca7f3e13069a498218ae8eaa563e85,5b7e0af3d5aa2f61a05ab447c849c861cfc76360d20b8999a7b0652aaa1f2828
Barbie Super Model (USA) (Beta) (1993-06-30),SEGA MEGA DRIVE,(C)SEGA 1993.MAR,Barbie,Barbie,GM,00000000-00,(unknown),0 (0x0000),U,D4823175,ec12d3cc11daaab593c0a24595e5a078,38fb22e2750db566b1f5004b59f3400a8dfffe1e,260ec9c8128c8e9e0179b2569424b5cfceb3271998a0297ddb92325737fb1544
Barbie Vacation Adventure (USA) (Proto),SEGA GENESIS,(C)T-1121994.AUG,BARBIE VACATION ADVENTURE,BARBIE VACATION ADVENTURE,GM,T-112066-00,(unknown),45069 (0xB00D),U,10E0BA69,8befaee319db7aa82ce1635184084d4c,51fe102543e0419a9ccd0f3e016150fdb3666c24,d4e11036a92c53806282f414c5afb0ebddf4263386b6ac5a8bb72939733f31f2
Bare Knuckle II (Japan) (Beta),SEGA MEGA DRIVE,(C)SEGA 1992.DEC,BARE KNUCKLE 2,BARE KNUCKLE 2,GM,00000000-00,(unknown),23412 (0x5B74),JUE,0CF2ACBE,bbe27f5a43be4bb2a11d119b3c1c70e1,ee3bee676944bc5a3cab163c209825f678dc8204,63c72920c79de9851910cac64934f931e6e86b2b08b274d51262e98283e48679
Bare Knuckle III (Japan),SEGA MEGA DRIVE,(C)SEGA 1994.JAN,BARE KNUCKLE3,STREETS OF RAGE3,GM,G-4116-00,(unknown),45906 (0xB352),J,5D09236F,f1cb9e887bf4bc512d9535c89e420df7,b9b2b4a98a9d8f4c49aa1e5395e2279339517fdb,70d40c55c40a1db40be7e5845aaa60a39b123362b8c48a21cec7ebe6f6d1cd60
Bare Knuckle III (Japan) (Beta),SEGA MEGA DRIVE,(C)SEGA 1994.JAN,BARE KNUCKLE3,STREETS OF RAGE3,GA U,G-4116-00,(unknown),62302 (0xF35E),J,E7FF99DB,8dfd2e27faf766991bd4be258619a3ed,1d75372571ce970545f6ce63977cea9fa811e23f,8fadfa7ca691cbdbb770b4d0faeeb1afce96108e96eda2c68d8bae57b05ab1eb
Barkley Shut Up and Jam 2 (USA),SEGA GENESIS,(C)T-1191995.FEB,Barkley Shut Up and Jam 2,Barkley Shut Up and Jam 2,GM,T-119186-00,(unknown),1051 (0x041B),JUE,321BB6BD,952e40844509c5739f1e84ea7f9dfd90,b13f13ccc1a21dacd295f30c66695bf97bbeff8d,637b400fe79830368feb52c3d21fd5badeddfe6cea08b7e07fa8f6d34822e5b8
Barkley Shut Up and Jam 2 (USA) (Beta),SEGA GENESIS,(C)T-1191995.FEB,Barkley Shut Up and Jam 2,Barkley Shut Up and Jam 2,GM,T-119066-01,(unknown),0 (0x0000),JUE,DE27357B,3cd93f58822151c27bb9f7a7d3190396,a9f9fa95106d2e1d00800386ba3d56e1483c83db,3b94a16d93f8d6656a0d4f5e3370dffe510e3d985e20c26b71873beb5403dfd0
"Barkley Shut Up and Jam! (USA, Europe)",SEGA GENESIS,(C)T-1191994.JAN,Barkley Shut Up and Jam!,Barkley Shut Up and Jam!,GM,T-119066-00,(unknown),11110 (0x2B66),JUE,63FBF497,2b27a61cdae4492044bd273c5807de75,fc60a682412b4f7f851c5eb7f6ae68fcee3d2dd1,ddb17a0449cdd4073043eb54ae6ab2edb125eaf833d8c530dec2e32c3fd926ff
Barney's Hide & Seek Game (USA),SEGA GENESIS,(C)SEGA 1993.SEP,BARNEY'S HIDE AND SEEK,BARNEY'S HIDE AND SEEK,GM,MK-1534,0,64673 (0xFCA1),U,1EFA9D53,644dcd9ae972b6b63fce63c17d12620d,64ebe54459267efaa400d801fc80be2097a6c60f,7ee0f78843a3f8437e7262fd9a8f172825432be88a41e44a578801423f1a3e8b
Barney's Hide & Seek Game (USA) (Beta) (1993-09-18),SEGA GENESIS,(C)SEGA 1993.SEP,BARNEY'S HIDE AND SEEK,BARNEY'S HIDE AND SEEK,GM,MK-1534,0,7282 (0x1C72),U,19D9DC81,434fbd3020f98201cea85d7e602b5212,405d1abe448e8d24786a5383f62e4e2833af392f,524ee84e866d41c61e227dcbafcc89bb419a4b91e2fcbac8640c8ee51c0f4143
Bass Masters Classic - Pro Edition (USA),SEGA GENESIS,(C)SEGA 1996.NOV,BASS MASTERS PRO,BASS MASTERS PRO,GM,T-100116-00,(unknown),45019 (0xAFDB),F,9EDDEB3D,622e303c560db177fe386229243ab7b6,9af4f7138d261122dfbc88c8afcbc769ce923816,176fa70baa7fd40221c03fdcfd669728994265427cb7e17662249d1dd3478a8a
Bass Masters Classic (USA),SEGA GENESIS,(C)T-100 1995.05,BASSMASTERS,BASSMASTERS,GM,T-100096-00,(unknown),22309 (0x5725),4,CF1FF00A,c026339973fb54ec4a54078d2994dd48,62ece2382d37930b84b62e600b1107723fbbc77f,4082d65c4fa481e993fb17075cc304c244eb5fc6991e1cfc1da92ab2fead4e2b
Batalha Naval (Brazil) (Mega Drive 4),SEGA MEGA DRIVE,(C)DEVWORKS 2005,JogosDevworks,JogosDevworks,GM,00000000-00,(unknown),42491 (0xA5FB),UEJ,C6AD942D,822e029a4e0d93a32bf1d3ba06f3c6e2,59582c98f9ecd87fdc42742294e134580b8698c8,5fbf17385dd67fcb6070ea0662654d13f672366b46f4d278359cf7c6897f0e70
Batman - Revenge of the Joker (USA),SEGA GENESIS,(C)T-15 1992.DEC,BATMAN: REVENGE OF THE JOKER,BATMAN: REVENGE OF THE JOKER,GM,T-015046-00,(unknown),44685 (0xAE8D),U,CAA044A1,6c31495e2f75c4643837558488b03947,e780c949571e427cf1444e1e35efe33fc9500c81,fe9cde5ba22a661420014caf98aad6e3d9803e1a4fa87fef2951709bc0164029
Batman - The Video Game (USA),SEGA MEGA DRIVE,(C)T-15 1991.MAY,BATMAN,BATMAN,GM,T-15016,0,45285 (0xB0E5),UE,017410AE,5ae78355da64cf17755175e9cfe48405,ffa7ddd8ecf436daecf3628d52dfae6b522ed829,db285e94aa9835f957f58a8df97f3d5a43416dd0e8bb78966b670d5573290ead
Batman (Europe),SEGA MEGA DRIVE,(C)T-15 1992.JAN,BATMAN,BATMAN,GM,MK-1044-50,(unknown),45843 (0xB313),E,61C60C35,c4bc694fcc7ee608bd4b857a5ad49f86,c7279c6d45e6533f9de14f65098c289b7534beb3,93860d14494f3c439494acd8b333e4c6f07f2eb9423743e611aa063994cfa8fd
Batman (Japan),SEGA MEGA DRIVE,(C)T-15 1990.JUL,BATMAN,BATMAN,GM,T-15043,0,26421 (0x6735),J,D7B4FEBF,b5b72e1157ace90aa9d0623a5687ecbc,7f96c72cc7bbdb4a7847d1058f5a751b2dc00ab5,b1d9e672c03ae08983c5d392d411704cd8ba4e70940c0f322dc10d8fa8dbbf89
Batman Forever (World),SEGA GENESIS,(C)T-81 1995.JUL,BATMAN FOREVER,BATMAN FOREVER,GM,T-81336,0,48223 (0xBC5F),F,DB41F2D5,49c9588affa2b64e3bc94cd5c1b5d38b,0ee6754515fc06846ceb04a7c5a19f0048f60714,570342598b8653d8e05fed442dce0bdafd02565b6ab8bbd389afc064c986e117
Batman Returns (World),SEGA GENESIS,(C)SEGA 1992.OCT,BATMAN RETURNS,BATMAN RETURNS,GM,MK-1045,0,7429 (0x1D05),U,4A3225C0,ae267331cfe46a61f65f3cbd5abcbe72,b173d388485461b9f8b27d299a014d226aef7aa1,17206b13e2899cdc2ed2f52f7215440f5f87af07d6a9d5e9fb2d2f870d7f69c4
Battle Golfer Yui (Japan),SEGA MEGA DRIVE,(C)SEGA 1991.JAN,バトルゴルファー唯,BATTLE-GOLFER YUI,GM,G-4040,0,29307 (0x727B),J,4AA03E4E,8cfd0e5a169193cf9c66e6d237a45d77,84db25ff7a0d2db6afddcfe4cdc7c26e20d0dd72,6f0eafce52aa8883f961d7828618c225174fa8454b02ee43c2b4ccdd3e3a2d38
Battle Mania (Japan),SEGA MEGA DRIVE,(C)VIC  1992.FEB,BATTLE MANIA,TROUBLE SHOOTER,GM,T-23013-,0,37007 (0x908F),U,A76C4A29,2857b7730fb7dbc5f7c1ec1a4ba1b0ee,9886dd39cfd8fe505860fc4d0119aacec7484a4e,246e0a8da5d00e054af3fdeca8d54ca713163f9d29bb935336199182a6fe3b51
Battle Mania (Japan) (Beta) (1991-05-28),SEGA MEGA DRIVE,(C)SEGA 1990.MAR,BATTLE MANIA,BATTLE MANIA,e,exercise only,(unknown),21955 (0x55C3),U,BF0A017F,4ed295fa55e62ded8333981ccb7a31a6,5d707ba8dbbfa8ad7a6ec20735e41b2b84941efe,864ae3983cbe9edf83203b1c6ec9b105691c60e0c3e4fc4905c16ce3192be315
"Battle Mania Daiginjou (Japan, Korea) (Ja)",SEGA MEGA DRIVE,(C)VIC  1993.SEP,BATTLE MANIA 2,TROUBLE SHOOTER VINTAGE,GM,T-23043-,0,37683 (0x9333),J,312FA0F2,1ffe5b490cddeb691e3add6947024f83,fbcf7e899ff964f52ade160793d6cb22bf68375c,72ec3c4c4c7dae8e0f4328ab67b8caa6e23147e44308fb165829399e7269cb84
"Battle Squadron (USA, Europe)",SEGA GENESIS,(C)T-50 199X.XXX,AGAME,AGAME,GM,T-XXXXX,#NAME?,52545 (0xCD41),U,0FEAA8BF,b5b815ef99b943fe0bad48dc13239b35,f003f7af0f7edccc317c944b88e57f4c9b66935a,42aa637a1a28921abbca77c30647ab99c5fc84ab3a55b7be04070efffb5f6481
"Battle Squadron (USA, Europe) (Rev 1) (Beta) (1991-01-18) (Sega Channel)",SEGA GENESIS,(C)T-50 1990.OCT,BATTLE SQUADRON,BATTLE SQUADRON,GM,T-50066,0,51548 (0xC95C),U,43A76B45,ec695773efefc2efb28d0fe687eedd60,a54b18df5452845b821ddadd59090501901dd2df,8363dd62c2e1de5ad5219e23f4d3e0fe983ea500be6be9fd60175a706c233cd2
Battlemaster (USA),SEGA MEGA DRIVE,(C)T-69 1991.AUG,BATTLEMASTER,BATTLEMASTER,GM,T-69066,0,47665 (0xBA31),JUE,FD2B35E3,52d741f606e1b783443bdecf6185c111,c27ad7070ec068cb2eb13a9e6bdfb3b70e55d4ad,1642a221e5e836fbf95e1a4f863ac07742596fe7763447636499da2f25bdbe48
Battletech - A Game of Armored Combat (USA),SEGA GENESIS,(C)T-22 1994.JUL,EXTREME         BATTLETECH,BATTLETECH,GM,T-22066,0,33027 (0x8103),U,409E5D14,0e086b6f7a4e98ba909c2c7e6ae8fa80,ee22ae12053928b652f9b9f513499181b01c8429,a70d7224609fb97f752515a177dcc8a4f9e5d9530b3011373b093eb613b64e4e
Battletoads (World),SEGA MEGA DRIVE,(C)SEGA 1992.DEC,BATTLE TOADS,BATTLE TOADS,GM,G-4074,0,42282 (0xA52A),JUE,D10E103A,f1e299d6eb40e3ecec6460d96e1e4dc9,5ef3c29b6bdd04d24552ab200d0530f647afdb08,3edb61931f60fca54f0b0c6bdf92883a06c558e53f56f02c4a989b859279dc63
Battletoads-Double Dragon (USA),SEGA GENESIS,(C)T-97 1993.AUG,BATTLETOADS AND DOUBLE DRAGON,BATTLETOADS AND DOUBLE DRAGON,GM,T-97066-00,(unknown),20667 (0x50BB),U,8239DD17,78f3ea32bcb4f627e4f9bc9711e017b8,5b79623e90806206e575b3f15499cab823065783,9495cd242757f76e76e77c55d7236d7142c3368a57454dcbda440128b1c2eb74
BC Racers (USA),SEGA 32X,(C)T-1151995.APR,BC RACERS X,BC RACERS X,GM,T-11505B-00,(unknown),0 (0x0000),F,936C3D27,35a11e021ca0b7ff909e4774eb8b3236,9b5fd499eaa442d48a2c97fceb1d505dc8e8ddff,e606ab6b3d205011a811c8569cd17075f0b67139f90b8418e565567a5592bf73
Beast Warriors (Japan),SEGA MEGA DRIVE,(C)T-49 1991.JUL,ビーストウォリアーズ,Beast Warriors,GM,T-49053,0,61052 (0xEE7C),J,4646C694,04a45f4f54f2d953a9a1977eee2ca15e,b504a09e3283716f0f9b0464ea9c20cd40110408,aee2e2598170b36c96b126c76f87355a33d872585a226fbe9965082759deb9cd
Beast Wrestler (Japan) (Beta) (1991-09-13),SEGA MEGA DRIVE,(C)T-49 1991.JUL,ビーストウォリアーズ,Beast Warriors,GM,T-49053,0,61478 (0xF026),J,E8734E9C,384c16a78639f0da26017ae07f0d271c,2a31632b12a33ccb105ca55be2a9f34988d68fc6,a08f50335f1be5d29310a27e37bf4ec103d9e16c2d3ee40708bacefe731f7c5c
Beast Wrestler (USA),SEGA MEGA DRIVE,(C)T-49 1991.JUL,ビーストウォーリアーズ,Beast Wrestler,GM,T-49116,0,45371 (0xB13B),U,0CA5BB64,7f4d8c08c1841e71c0d5222791d746ad,b8752043027a6fb9717543b02f42c99759dfd45e,4912f3e05ac9caaaf7d6f96c1205540e3a0929d8243dc9b0468cfc00347b8cac
Beastball (Europe) (Proto),SEGA ENTERPRISES,COPYRIGHT,Club Soccer     (Console Edition),Club Soccer     (Console Edition),SN,T-124026-01,(unknown),65027 (0xFE03),Eur,6A176576,15af490814261081b6885f5bc1d9e187,6af4e13dede08ed75b3e307538276134b3a297b2,e7737d05b144aa82d963307060e74d4886e252c077d338d2e0c4f75303fea040
Beauty and the Beast - Belle's Quest (USA),SEGA GENESIS,(C)T-15 1993.SEP,BELLES QUEST,BELLES QUEST,GM T-,15106-00,(unknown),46885 (0xB725),U,BEFB6FAE,c86c3f1e23e09714ada725e69c81c46c,f88a712ae085ac67f49cb0a8fa16a47e82e780cf,e11c309ea5c91e49cbea802a17bbbf2da206d7a09d9160f4482c39861d104ce6
Beauty and the Beast - Roar of the Beast (USA),SEGA GENESIS,(C)T-15 1993.SEP,ROAR OF THE BEAST,ROAR OF THE BEAST,GM T,-15116,(unknown),5199 (0x144F),U,13E7B519,a1ad9ddac033d6ea7d6ff1fe34aff627,e98c7b232e213a71f79563cf0617caf0b3699cbf,ea1cb1e2832b8a2ea306e48f4aafa76351629b5888b9e82181a2b811d303c075
Beavis and Butt-Head (Europe),SEGA GENESIS,(C)T-1391994.OCT,Beavis and Butthead,Beavis and Butthead,GM,T-139016-50,(unknown),58325 (0xE3D5),UE,C7B6435E,428f3fd85102f22fc014bc98d32d7851,0d132afbc76589b95a0c617d39122f0715eab2c6,03fd23b788d6bbb1c45d8c889b05b031bba2d32017a1a83c092ecb82edc516fd
Beavis and Butt-Head (USA),SEGA GENESIS,(C)T-1391994.OCT,Beavis and Butthead,(unknown),GM,T-139016-00,(unknown),42792 (0xA728),U,F5D7B948,8e4d7397374cb03528f4c886120dc3e9,9abfbf8c5d07a11f090a151c2801caee251f1599,31ffc43189f892be91e4cba0dda971039a6c52a2d6295b8ace3669c443507567
Beavis and Butt-Head (USA) (Beta),SEGA GENESIS,(C)T-1391994.OCT,Beavis and Butthead,(unknown),GM,T-139016-00,(unknown),42792 (0xA728),U,81ED5335,969ef55c45dd21b6c3dc2222cd0c912c,f9ed871867f543a8d94c47270cd530a5ca410664,dad7723c93054c233bbde8860a786536a57050845214087690a01e96b6841a10
Beethoven's 2nd - The Quest for Pups (USA) (Proto),SEGA GENESIS,(C) T-112 93/NOV,Mickey's Ultimate Challenge,Mickey's Ultimate Challenge,GM,T112046-00,(unknown),30776 (0x7838),U,1BD0C6A3,aadd6ab5ad88a9ed04cf7601de223d01,57b996ebc6b24ffea5bba6ec00dc042088c52a07,98f3e03962f787d76641076fd4616c70d6e5f1e998d64f15d752ef23abda0fa6
Beggar Prince (World) (Aftermarket) (Unl),SEGA GENESIS,(C)2005,BEGGAR PRINCE,BEGGAR PRINCE,(unknown),SF-001,(unknown),2102 (0x0836),JUE,F3AF46CD,b5616628e9ff5d6861201388d018b8bc,f481b970756c482d8f408c4bab8902172837e7d8,0b5261d4c50f989dd677ab9dcadd3ea460c820b86306ba5bd307a56259b64327
Beggar Prince (World) (Rev 1) (Aftermarket) (Unl),SEGA GENESIS,(C)2005,BEGGAR PRINCE,BEGGAR PRINCE,(unknown),SF-001,(unknown),15880 (0x3E08),JUE,6332EDCC,52ff6253cd6087fd3ecd23843d051672,1aeaef203c7d55fa678b92776b5b8cbc76533652,2e0abf49be236d286271525593228f9c2e5efbc0db98cb20d88d51a95bef552d
Ben 10 (Russia) (Aftermarket) (Unl),SEGA MEGA DRIVE,(unknown),(unknown),(unknown),GM,00000000-00,(unknown),0 (0x0000),JUE,C8BE0B26,08cdbf927351146e48a84aa2f3871855,83a49560eb1174b17c9d5ed8837d74a7006b7e9c,337596272374d3fc4a831660af57f2931f19beb590b3cb8c783ca2d2df0d7e65
"Berenstain Bears' Camping Adventure, The (USA)",SEGA GENESIS,(C)SEGA 1994.AUG,BERENSTAIN BEARS' CAMPING ADVENTURE,BERENSTAIN BEARS' CAMPING ADVENTURE,GM,MK-1548,0,60398 (0xEBEE),U,1F86237B,9c60d0a0dc49a0e9f076b7e6ed922c2f,5fd62e60fd3dd19f78d63a93684881c7a81485d6,1779e9507a7ff8961ba6bf067ec1be0cce3c58e4658ca807df8daa64913939eb
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-03-23)",SEGA GENESIS,(C)SEGA 1993.SEP,PUT TITLE HERE,PUT TITLE HERE,GM,MK-0000,0,34393 (0x8659),U,BFBCD7CC,518929a12120e3b95a1c4f43aee5acb0,2ace984e92740fe93b762c66ee12663c7d8805b9,0a7044b61736b050e94a04711bef29ae627f6def19538155caf498ecf15d7b1a
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-04-28)",SEGA GENESIS,(C)SEGA 1993.SEP,PUT TITLE HERE,PUT TITLE HERE,GM,MK-0000,0,25573 (0x63E5),U,F222E946,b7106bdf02784dbc220162b244070f84,349fc63222fe59bc8e7e71e6b0358ac7b03a00ca,3fb3917f444afc74f403ef7c7682fa2f2a8ac8829153e3b2e0b4afdb4dea010d
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-04-29)",SEGA GENESIS,(C)SEGA 1993.SEP,PUT TITLE HERE,PUT TITLE HERE,GM,MK-0000,0,0 (0x0000),U,E21493B4,23ed5305a534f3232016fcc304a2e9c3,4607bf96959809c86c4e5ed244c9d29ad2584637,c8d4edbec6ef2e8079587597a5ced7b96e31c1ac9a7c5c973d3534977748c12d
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-06)",SEGA GENESIS,(C)SEGA 1993.SEP,PUT TITLE HERE,PUT TITLE HERE,GM,MK-0000,0,65124 (0xFE64),U,713C14D8,62c500ff277a7606625a29e7527382ff,fedd6c08d4bd7f8f554bcfd1e7431ba9248c1fe7,ee7a03aeec676ccd70c7851e1793cc9e5b25139cf8f58900d33ccc202de818af
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-11)",SEGA GENESIS,(C)SEGA 1993.SEP,PUT TITLE HERE,PUT TITLE HERE,GM,MK-0000,0,29703 (0x7407),U,F7B81C6A,091e7287b99d390c0ae167a4575200fb,9ab467062576cf087f73bd9ef9ecc428ce638f3a,f270aef8193536a048c0b37e181f6c58f3faf01b9ed928e8f3aa261cadc798ff
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-17)",SEGA GENESIS,(C)SEGA 1994.MAY,BERENSTAIN BEARSCAMPING ADVENTURE,BERENSTAIN BEARSCAMPING ADVENTURE,GM,MK-1548,0,26420 (0x6734),U,E1855ADE,6fbd84ea6b52ca7329087e1ffd24a593,391c1bdeb7546bc19c3f866cb17079f529044b3c,e87fd4c32dd0fd7889e0b6c38acfe4d1cb58edad15c78b65a2da242021d351f1
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-19)",SEGA GENESIS,(C)SEGA 1994.MAY,BERENSTAIN BEARSCAMPING ADVENTURE,BERENSTAIN BEARSCAMPING ADVENTURE,GM,MK-1548,0,0 (0x0000),U,07C9F71F,4fa7ae2f11e38bd41bcf4f7f11b5c6b1,617284c4964117e2c7ac9fab8ef4ea19a89fa0ea,7a3bf7ead6404888cfdcd8705fac825273aa668639bad55cd0068105cbbf4d52
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-23)",SEGA GENESIS,(C)SEGA 1994.JUN,BERENSTAIN BEARS' CAMPING ADVENTURE,BERENSTAIN BEARS' CAMPING ADVENTURE,GM,MK-1548,0,0 (0x0000),U,913887B7,132adbcbd7b50d750e0c66f1bf5b50c3,4b866f0b0f491a3d73d1ce1895df9720c93a79f2,e57a29739b2b0922d7b7d9718a1ed881bfaa4d8d208b57bf501d035f55bb9370
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-26)",SEGA GENESIS,(C)SEGA 1994.JUN,BERENSTAIN BEARS' CAMPING ADVENTURE,BERENSTAIN BEARS' CAMPING ADVENTURE,GM,MK-1548,0,0 (0x0000),U,D33C0FA4,bc859868a13b0e8f615d16b382e63758,4315949e9c7f3c938d0ef15f0ce361e7f47042a1,eea82243c4e9531b5666120641fa5bd131ded2b2c828cfc222adce4707c39b60
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-30)",SEGA GENESIS,(C)SEGA 1994.JUN,BERENSTAIN BEARS' CAMPING ADVENTURE,BERENSTAIN BEARS' CAMPING ADVENTURE,GM,MK-1548,0,0 (0x0000),U,9C3BF429,eae425fb439971b17cfcdd2b40cb4907,33c292b28518f25e1d87c41fff3cf5f2da635993,b3638de8bd0d577d57366cec83cb2f19474c403a03ea82277b9ebd06fb7aac6b
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-06-02)",SEGA GENESIS,(C)SEGA 1994.JUN,BERENSTAIN BEARS' CAMPING ADVENTURE,BERENSTAIN BEARS' CAMPING ADVENTURE,GM,MK-1548,0,5767 (0x1687),U,83CF19E4,671d0cb54b782ab80d21da287f06f115,fe2fa9060a2cf13720c79a5fc8568a33c2adad0a,3832ea1c92e959574af584ee10d6cff48625c21cffa250a30c98e763f3807cde
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-06-10)",SEGA GENESIS,(C)SEGA 1994.JUN,BERENSTAIN BEARS' CAMPING ADVENTURE,BERENSTAIN BEARS' CAMPING ADVENTURE,GM,MK-1548,0,34491 (0x86BB),U,A748E2CF,4ea9de352021cadc2862dd2628206378,32ee3d750ea8ff06adb28c7b5812670f4e92d952,7ab3c0980f2fb38bb47be3f09ba3b5ad94bdffb032d89024b78d05e4f3ab1e09
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-07-09)",SEGA GENESIS,(C)SEGA 1994.JUL,BERENSTAIN BEARS' CAMPING ADVENTURE,BERENSTAIN BEARS' CAMPING ADVENTURE,GM,MK-1548,0,0 (0x0000),U,BF6AA405,5d705ca84a5a5f060311382c08171937,8172369e0a73d1be60e1124a2ea8df41cfddfb55,8bdc16f29f014ec08b954705e862d192905f8e48246b2961590a35be241152ca
